epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2373,1.98688,4.94276,1.97515,0.01462,1,0.28459,0.15222,1.41947,4.38758,1.35014,0.00025,0.00025,0.00025
2,29.3814,1.54749,3.75201,1.44772,0.00445,0.97222,0.48125,0.26094,1.32917,4.01996,1.22634,0.00045951,0.00045951,0.00045951
3,43.9594,1.42078,3.08302,1.32855,0.84599,0.31519,0.67452,0.38109,1.43824,3.51583,1.19806,0.00061754,0.00061754,0.00061754
4,60.9044,1.40032,2.68474,1.29601,0.76528,0.47484,0.5747,0.28723,1.54478,3.70913,1.48823,0.000703,0.000703,0.000703
5,76.0227,1.34595,2.3144,1.23872,0.8905,0.74701,0.91394,0.56161,1.3836,2.44375,1.16611,0.000604,0.000604,0.000604
6,92.9307,1.29866,2.14335,1.21285,0.92576,0.8727,0.97535,0.60861,1.34281,2.04691,1.13465,0.000505,0.000505,0.000505
7,108.647,1.18473,1.86952,1.15203,0.97752,0.96665,0.99167,0.62562,1.27653,1.63636,1.11334,0.000406,0.000406,0.000406
8,124.504,1.15618,1.70366,1.13378,0.98142,0.99085,0.995,0.67225,1.15069,1.48796,1.04171,0.000307,0.000307,0.000307
9,139.407,1.08808,1.68171,1.07234,0.98726,0.97322,0.995,0.6946,1.1352,1.40662,1.04118,0.000208,0.000208,0.000208
10,154.423,1.06919,1.57166,1.0784,0.98075,0.97173,0.995,0.71452,1.04764,1.37248,1.01419,0.000109,0.000109,0.000109
